,n_clusters,inertia,silhouette
0,10,5616.660405594758,0.1534916955745086
1,11,5501.735085102533,0.16076027872341273
2,12,5418.62841647076,0.14741046465523075
3,13,5275.332944233461,0.1661767643502713
4,14,5167.644606319149,0.16757542099544417
5,15,5165.9828375870775,0.16102975822046509
6,16,5015.016695179853,0.17517271880718122
7,17,4962.205551533169,0.17811315295483926
8,18,4889.876619476349,0.18358130147658555
9,19,4822.588372047607,0.18685978138426568
10,20,4803.699209048851,0.18578356770338159
11,21,4729.269283576933,0.18855878900326573
12,22,4678.779110093218,0.19563729790774106
13,23,4622.237743257605,0.19814362995277354
14,24,4580.118597198533,0.19821478262118553
15,25,4548.279557772855,0.20447259058531733
16,26,4504.08425280842,0.20599360581583392
17,27,4498.605084958791,0.2004126290183849
18,28,4431.848409003859,0.20797623644695898
19,29,4410.1731310248815,0.2040019659514736
20,30,4387.493784758356,0.20862746387687725
21,31,4354.820637935903,0.20890534239276798
22,32,4313.696775974942,0.2156744102699912
23,33,4278.728515451219,0.22108783850369118
24,34,4255.03564385164,0.21440144564523195
25,35,4210.641382660321,0.2190778710604826
26,36,4163.3084401460255,0.2222908738216859
27,37,4170.416072104281,0.22600840899642388
28,38,4153.751265065574,0.22431361300924638
29,39,4083.439998326463,0.22303542399053114
30,40,4071.9263759149217,0.22302104840389347
31,41,4082.2189686778106,0.22398458636693594
32,42,3999.179919575371,0.2289169481724663
33,43,4034.586580388804,0.22275750712823603
34,44,3998.48754988889,0.22906877036862816
35,45,3943.360963915234,0.23619302862686076
36,46,3954.0223021261904,0.22896115420936095
37,47,3944.5077944666664,0.23064717780837946
38,48,3886.1763122089455,0.23780560321868363
39,49,3905.884547099295,0.22956076470842834
40,50,3870.8457156544614,0.23308805095809107
41,51,3858.7903287601944,0.2369789650498496
42,52,3806.024094188489,0.2363526295582326
43,53,3810.5140663488537,0.2370097464878552
44,54,3795.052398899088,0.23941936795035218
45,55,3765.0865763740917,0.2421160576065879
46,56,3756.9894327477027,0.23871231378049468
47,57,3748.558939801686,0.24300271976088303
48,58,3710.4791424973373,0.24581780471185014
49,59,3707.4284443978745,0.24530791666556073
50,60,3749.054509656241,0.23868975219582925
51,61,3693.371239555968,0.2438620342269292
52,62,3647.908871030758,0.25007489704762526
53,63,3703.562706993802,0.2398940877988623
54,64,3651.2744341590956,0.24699415242340308
55,65,3604.4991782518846,0.2506668253120637
56,66,3658.305712700889,0.24566567749126472
57,67,3578.2190943931846,0.2523954366417304
58,68,3561.210887781038,0.25325389427698436
59,69,3613.5965072204635,0.25049127349163103
60,70,3557.4275886634155,0.2529702176908475
61,71,3541.627133167351,0.2515014705157289
62,72,3530.2638644037834,0.25326097517899043
63,73,3532.042219182137,0.2528575283333351
64,74,3496.196840057923,0.2566354443337986
65,75,3507.437647556492,0.25490030084653537
66,76,3493.515447544332,0.25271437847947337
67,77,3459.979833177897,0.2605703441451571
68,78,3508.37618364585,0.254526422328878
69,79,3439.0566385801553,0.25739752405972627
70,80,3435.9437135430394,0.2577029459670079
71,81,3445.6238404639794,0.25733733074628445
72,82,3379.139645498476,0.26274619183839554
73,83,3428.6050362976744,0.25453155712236747
74,84,3397.1835233012434,0.2621763568307758
75,85,3365.3179436993973,0.2634993043942344
76,86,3377.054790704196,0.2620460229979431
77,87,3359.9111767319737,0.26429122655227477
78,88,3342.1624642896895,0.2652607911992492
79,89,3356.9836330787425,0.26000003264622895
80,90,3330.8808303702012,0.263065885516303
81,91,3304.5153676785303,0.269086293736357
82,92,3314.896686029459,0.2658256761416098
83,93,3306.8493136153807,0.26430350425885973
84,94,3287.1921658960578,0.26739741954919016
85,95,3287.820232113765,0.2677576630979212
86,96,3264.2426054984285,0.2665427617733696
87,97,3250.9838110443725,0.2684670694272403
88,98,3263.2932996413188,0.2700558067596156
89,99,3235.1230582312014,0.26804981175426545
90,100,3226.845619413214,0.2693043017116218
